Unixtime	state	scanDiameter	electrometerN	RHsh	Tsh	Tdsh
1.72E+09	SCAN	166.4701569	4680.313783	46.2	24	11.7
1.72E+09	SCAN	165.9511603	4328.348573	46.2	24	11.7
1.72E+09	SCAN	165.4314709	2856.892638	46.1	24	11.7
1.72E+09	SCAN	164.9226364	4253.954399	46.1	24	11.6
1.72E+09	SCAN	164.4119287	4351.973969	46.1	24	11.7
1.72E+09	SCAN	163.8955525	4505.570644	46.2	24	11.7
1.72E+09	SCAN	163.3878443	3737.813885	46.1	24	11.7
1.72E+09	SCAN	162.8744716	3558.6617	46.1	24	11.7
1.72E+09	SCAN	162.367078	4713.504959	46.1	24	11.7
1.72E+09	SCAN	161.8570413	4407.284373	46.1	23.9	11.6
1.72E+09	SCAN	161.3561689	4563.844051	46.2	24	11.7
1.72E+09	SCAN	160.860231	4384.064425	46.2	24	11.7
1.72E+09	SCAN	160.3599127	4535.310123	46.2	24	11.7
1.72E+09	SCAN	159.8641346	4544.783405	46.2	24	11.7
1.72E+09	SCAN	159.3733612	4633.027534	46.2	24	11.7
1.72E+09	SCAN	158.8784989	4322.465734	46.2	24	11.7
1.72E+09	SCAN	158.3915226	4627.764428	46.2	24	11.7
1.72E+09	SCAN	157.902926	4451.128174	46.2	24	11.7
1.72E+09	SCAN	157.4251919	4494.526446	46.2	24	11.7
1.72E+09	SCAN	156.9387106	4498.542378	46.2	24	11.7
1.72E+09	SCAN	156.4569188	4323.985776	46.2	24	11.7
1.72E+09	SCAN	155.9761802	4327.505304	46.2	24	11.7
1.72E+09	SCAN	155.5062045	4388.035649	46.3	24	11.7
1.72E+09	SCAN	155.0250553	4443.43701	46.3	24	11.7
1.72E+09	SCAN	154.5548024	4312.314136	46.3	24	11.8
1.72E+09	SCAN	154.0778697	4286.659963	46.3	24	11.7
1.72E+09	SCAN	153.6100507	4415.484274	46.3	24	11.7
1.72E+09	SCAN	153.1430693	4177.778106	46.3	24	11.7
1.72E+09	SCAN	152.6735441	4514.878973	46.3	24	11.7
1.72E+09	SCAN	152.2085559	4261.335697	46.3	24	11.7
1.72E+09	SCAN	151.7413407	2960.611593	46.3	24	11.7
1.72E+09	SCAN	151.2753994	4389.581899	46.3	24	11.8
1.72E+09	SCAN	150.8154558	4295.496554	46.3	24	11.8
1.72E+09	SCAN	150.3553637	3941.38232	46.2	24	11.7
1.72E+09	SCAN	149.8962885	4085.70304	46.4	24	11.8
1.72E+09	SCAN	149.4399802	4010.767756	46.4	24	11.8
1.72E+09	SCAN	148.9830102	4128.350541	46.4	24	11.8
1.72E+09	SCAN	148.5312866	3202.461648	46.3	24	11.7
1.72E+09	SCAN	148.0782017	3056.966209	46.4	24	11.8
1.72E+09	SCAN	147.6329376	3590.955651	46.3	24	11.7
1.72E+09	SCAN	147.1824598	4521.890281	46.3	24	11.7
1.72E+09	SCAN	146.7347519	3535.176592	46.3	24	11.7
1.72E+09	SCAN	146.2936345	4397.334728	46.4	24	11.7
1.72E+09	SCAN	145.8528062	3375.007972	46.3	24	11.7
1.72E+09	SCAN	145.4080558	3766.833425	46.3	24	11.7
1.72E+09	SCAN	144.9689759	4209.962601	46.3	23.9	11.7
1.72E+09	SCAN	144.5299398	3952.369478	46.4	24	11.8
1.72E+09	SCAN	144.0973046	4477.039799	46.5	24	11.8
1.72E+09	SCAN	143.6604284	3487.474105	46.5	24	11.8
1.72E+09	SCAN	143.2266987	3810.086784	46.4	24	11.8
1.72E+09	SCAN	142.797106	3144.621437	46.4	23.9	11.7
1.72E+09	SCAN	142.3666847	3846.139215	46.5	24	11.8
1.72E+09	SCAN	141.937468	4483.981734	46.4	24	11.8
1.72E+09	SCAN	141.5091654	4581.174994	46.4	24	11.8
1.72E+09	SCAN	141.0858421	3069.027879	46.4	24	11.8
1.72E+09	SCAN	140.6583865	4344.998118	46.4	24	11.8
